📅 WEEKLY OVERVIEW DASHBOARD,,,,,
,,,,,
=== WEEK OF: March 19 - March 25 2026 ===,,,,,
,,,,,
🎯 DAILY FOCUS - TOP 3 TASKS,,,,,
#,Task,Category,Deadline,Priority,Done?
1,Backend Auth Logic,💻 Project,2026-03-26,🔴 High,⬜
2,UML Diagrams - Use Case,📚 Study,2026-03-30,🔴 High,⬜
3,React - useEffect & API Calls,🧠 Skills,Ongoing,🟠 Medium,⬜
,,,,,
=== WEEKLY SUMMARY ===,,,,,
Metric,Count,,,
Total Tasks This Week,12,,,
✅ Completed,3,,,
🔄 In Progress,4,,,
⏳ Not Started,5,,,
🔴 Overdue,0,,,
Overall Progress,25%,,,
,,,,,
=== TASK LIST THIS WEEK ===,,,,,
Task,Category,Deadline,Priority,Status,Notes
Review Chapter 1-3 (ER Diagrams),📚 Study,2026-03-25,🔴 High,🔄 In Progress,
Assignment 1 - SQL Queries,📚 Study,2026-03-28,🔴 High,⏳ Not Started,
JavaScript DOM Review,📚 Study,2026-03-27,🟠 Medium,⏳ Not Started,
Backend Auth Logic,💻 Project,2026-03-26,🔴 High,🔄 In Progress,
Wireframe & Layout (Portfolio),💻 Project,2026-03-23,🟠 Medium,🔄 In Progress,
UI Implementation (Portfolio),💻 Project,2026-03-30,🟠 Medium,⏳ Not Started,
React - Components & Props,🧠 Skills,Ongoing,🟠 Medium,🔄 In Progress,
PHP - Laravel Basics,🧠 Skills,Ongoing,🟠 Medium,🔄 In Progress,
,,,,,
=== WEEKLY REVIEW (Fill at end of week) ===,,,,,
Question,Answer,,,
What did I complete this week?,,,,
What got blocked or delayed?,,,,
What should I focus on next week?,,,,
Energy level this week (1-10)?,,,,
,,,,,
=== PERSONAL / LIFE TASKS ===,,,,,
Task,Category,Deadline,Priority,Status,Notes
Exercise (3x this week),🏃 Health,2026-03-25,🟠 Medium,⏳ Not Started,
Read 20 pages,📖 Personal,Daily,🟢 Low,⏳ Not Started,
Weekly grocery shopping,🏠 Life,2026-03-21,🟠 Medium,⏳ Not Started,
Call family,👨‍👩‍👧 Personal,2026-03-22,🟢 Low,⏳ Not Started,
[Add your task],[Category],[Deadline],[Priority],[Status],[Notes]
,,,,,
=== IDEAS & NOTES ===,,,,,
Date,Idea / Note,,,
2026-03-19,Start this week,,,,
[Date],[Write your idea or note here],,,,
